Dimension - Numero de Particulas - Inercia -Cognitivo - Social || Numero medio de iteraciones y valor medio de los pso asociados sobre las funciones  Rastrigin, Schwefwl2-21 y Esfera

t = 0.1s
5 & 54 & 0.1264 & 0.9584 & 2.2636 & (223.04, 2.9451); (283.68, 0.0000); (280.42, 0.0000)\\
5 & 39 & 0.5205 & 1.1760 & 1.1315 & (351.2, 2.8854); (455.94, 0.0000); (443.98, 0.0000)\\
5 & 23 & 0.5455 & 2.0185 & 1.0562 & (717.14, 1.2337); (952.32, 0.0000); (931.76, 0.0000)\\

10 & 94 & 0.6583 & 1.2519 & 0.8079 & (96.64, 8.4219); (166.86, 0.0000); (162.68, 0.0000)\\
10 & 66 & 0.7035 & 1.3681 & 0.6632 & (128.64, 7.0123); (224.44, 0.0000); (222.18, 0.0000)\\
10 & 122 & 0.6121 & 1.7230 & 0.9379 & (100.0, 5.5659); (172.06, 0.0000); (165.88, 0.0000)\\
10 & 80 & 0.6387 & 1.0402 & 1.1816 & (150.2, 11.1039); (257.5, 0.0000); (253.7, 0.0000)\\
10 & 75 & 0.6082 & 1.4002 & 1.1604 & (166.58, 8.0945); (288.9, 0.0000); (275.9, 0.0000)\\
10 & 49 & 0.7028 & 0.9783 & 1.1028 & (173.32, 11.1049); (301.44, 0.0000); (299.7, 0.0000)\\
10 & 52 & 0.7065 & 1.0485 & 1.0348 & (166.78, 10.6071); (292.76, 0.0000); (289.2, 0.0000)\\
10 & 112 & 0.5647 & 1.5776 & 0.8574 & (79.24, 6.8762); (137.56, 0.0018); (136.62, 0.0000)\\
10 & 34 & 0.6658 & 1.5520 & 1.2037 & (301.52, 8.4006); (531.5, 0.0000); (522.06, 0.0000)\\
10 & 25 & 0.8425 & 0.7102 & 0.8564 & (516.6, 14.0289); (901.1, 0.0000); (889.92, 0.0000)\\
